Index,Title,URL,Album ID,Track Count
50,the new R Stevie Moore No​-​Show (NODCAST3),https://rsteviemoore.bandcamp.com/album/the-new-r-stevie-moore-no-show-nodcast3,1879485553,24
51,the new R Stevie Moore No-Show (NODCAST1),https://rsteviemoore.bandcamp.com/album/the-new-r-stevie-moore-no-show-nodcast1,2742299093,30
52,SOLILOQUIES SPEAKIN OF WHICH,https://rsteviemoore.bandcamp.com/album/soliloquies-speakin-of-which,4255079190,7
53,"Live at WBAR, Barnard College NYC 2005",https://rsteviemoore.bandcamp.com/album/live-at-wbar-barnard-college-nyc-2005,3544018849,1
54,IN HOSPICE,https://rsteviemoore.bandcamp.com/album/in-hospice,1627148446,16
55,Pieces Of A Puzzle (demos for Yukio),https://rsteviemoore.bandcamp.com/album/pieces-of-a-puzzle-demos-for-yukio,2833835747,26
56,Album name: ROBBER STEALING MORE,https://rsteviemoore.bandcamp.com/album/album-name-robber-stealing-more,3006846263,10
57,HEART ON: The END TIMES by One Nite Standards,https://rsteviemoore.bandcamp.com/album/heart-on-the-end-times-by-one-nite-standards,1623293407,24
58,XCLUSIF,https://rsteviemoore.bandcamp.com/album/xclusif,1859331143,16
59,I HATE THIS LIFE,https://rsteviemoore.bandcamp.com/album/i-hate-this-life,3523367848,20
60,R. STEVIE MOORE ON EARTH,https://rsteviemoore.bandcamp.com/album/r-stevie-moore-on-earth,1687526767,27
61,FREEDOM VS. FATE ~3Lp Dinner,https://rsteviemoore.bandcamp.com/album/freedom-vs-fate-3lp-dinner,1909507416,45
62,RE-CITAL,https://rsteviemoore.bandcamp.com/album/re-cital,3566155318,17
63,Smokin' A Dried Turd - by,https://rsteviemoore.bandcamp.com/album/smokin-a-dried-turd-by,3684212392,5
64,R Stevie Moore Live at THE END,https://rsteviemoore.bandcamp.com/album/r-stevie-moore-live-at-the-end,2033045214,1
65,Oliver Twisted ~ 'the ego awaits trial',https://rsteviemoore.bandcamp.com/album/oliver-twisted-the-ego-awaits-trial,4209290354,35
66,YEAST HEIST ~The Error of Your Ways | Oliver Chris Moore RStevie Vol 2,https://rsteviemoore.bandcamp.com/album/yeast-heist-the-error-of-your-ways-oliver-chris-moore-rstevie-vol-2,3433341236,21
